,PATTERN,RECODING2,TOTAL_OCCURRENCES
6181,spec ag ser dep comm,AGRICULTURE,7
6182,special functions,DK,7
6183,spirit laws,POLSCIENCE,7
6184,springer verlag lect,DK,7
6185,stahl eisen,NATURAL SCIENCES,7
6186,stanf u techn rep,DK,7
6187,stat abstr,STATISTICS,7
6188,stat comput,STATISTICS,7
6189,stat methods econome,ECONOMICS,7
6190,stat railw us,URBAN STUDIES,7
6191,stat stat softw rel,STATISTICS,7
6192,state income differe,ECONOMICS,7
6193,state social sci,DK,7
6194,states power africa,POLSCIENCE,7
6195,statistical estimati,STATISTICS,7
6196,statistician,STATISTICS,7
6197,storage stability,DK,7
6198,strategy structure e,ECONOMICS,7
6199,structural holes soc,SOCIOLOGY,7
6200,structure growth ita,ECONOMICS,7
6201,structure reform dir,ECONOMICS,7
6202,stud choice welf,ECONOMICS,7
6203,stud cons exp inc sa,ECONOMICS,7
6204,studies dev planning,URBAN STUDIES,7
6205,studies ec uncertain,ECONOMICS,7
6206,studies portfolio be,FINANCE,7
6207,studies resource all,NATURAL SCIENCES,7
6208,study moneyflows us,STATISTICAL DATA,7
6209,study mortgage credi,FINANCE,7
6210,supply demand,ECONOMICS,7
6211,survey current b mar,BUSINESS,7
6212,survey current b may,BUSINESS,7
6213,survey graphic,DK,7
6214,surveys ec theory,ECONOMICS,7
6215,system int comp gros,ECONOMICS,7
6216,targets indicators b,DK,7
6217,tax policy ec growth,ECONOMICS,7
6218,tax ref fairn simpl,ECONOMICS,7
6219,taxation welfare,ECONOMICS,7
6220,technical b usda,AGRICULTURE,7
6221,terrorism,POLSCIENCE,7
6222,themes ec aging,ECONOMICS,7
6223,theor comput sci,COMPUTER,7
6224,theor soc,SOCIOLOGY,7
6225,theory decision,PSYCHOLOGY,7
6226,theory ec dev inquir,ECONOMICS,7
6227,theory functions,MATHEMATICS,7
6228,theory int trade its,ECONOMICS,7
6229,theory learning expt,EDUCATION,7
6230,theory natural monop,ECONOMICS,7
6231,theory oscillations,GENERAL SCIENTIFIC,7
6232,theory practice bank,FINANCE,7
6233,thesis stanford,DK,7
6234,thesis u coll london,DK,7
6235,thesis u delhi,DK,7
6236,thesis u iowa,DK,7
6237,thesis u so californ,DK,7
6238,thesis u texas,DK,7
6239,thesis u wash,DK,7
6240,time sales financing,FINANCE,7
6241,tools stat inference,STATISTICS,7
6242,toward mathematics p,POLSCIENCE,7
6243,trade policy 1980s,ECONOMICS,7
6244,trade policy market,ECONOMICS,7
6245,trade protection us,ECONOMICS,7
6246,trade securities sta,FINANCE,7
6247,trade unionism us,SOCIOLOGY,7
6248,trade wages leveling,ECONOMICS,7
6249,traite ec pure,ECONOMICS,7
6250,trans rep,DK,7
6251,transition e europe,ECONOMICS,7
6252,transplant p,HEALTH,7
6253,trust problem us,BUSINESS,7
6254,trust social virtues,SOCIOLOGY,7
6255,u illinois law rev,LAW,7
6256,u mannh,DK,7
6257,u mar,DK,7
6258,u mar ctr int ec,ECONOMICS,7
6259,u roch dep ec di,ECONOMICS,7
6260,u south,DK,7
6261,u stockh i int ec,ECONOMICS,7
6262,u wash i ec res,ECONOMICS,7
6263,u wisc soc sci,DK,7
6264,un crim rep,SOCIOLOGY,7
6265,uncertainty profit,BUSINESS,7
6266,underground ec us ab,ECONOMICS,7
6267,understanding aggreg,DK,7
6268,understanding capita,ECONOMICS,7
6269,unequal chances: family background and economic success,SOCIOLOGY,7
6270,unfilled orders inve,BUSINESS,7
6271,unionism wage trends,ECONOMICS,7
6272,unpub bootstrapping,STATISTICS,7
6273,unpub characterizati,DK,7
6274,unpub cointegration,STATISTICS,7
6275,unpub costs benefits,ECONOMICS,7
6276,unpub differentiabil,MATHEMATICS,7
6277,unpub ec lett,ECONOMICS,7
6278,unpub equilibrium se,ECONOMICS,7
6279,unpub estimating eff,DK,7
6280,unpub financial inte,FINANCE,7
6281,unpub financial mark,FINANCE,7
6282,unpub fiscal policy,ECONOMICS,7
6283,unpub geography trad,ECONOMICS,7
6284,unpub habit formatio,PSYCHOLOGY,7
6285,unpub heterogeneous,DK,7
6286,unpub hyperbolic dis,STATISTICS,7
6287,unpub information pr,DK,7
6288,unpub j business,BUSINESS,7
6289,unpub j financial qu,FINANCE,7
6290,unpub lecture notes,DK,7
6291,unpub measuring effe,DK,7
6292,unpub recursive cont,DK,7
6293,unpub social securit,HEALTH,7
6294,unpub structural mod,STATISTICS,7
6295,unpublished study,DK,7
6296,upps u dep ec,ECONOMICS,7
6297,urb i,URBAN STUDIES,7
6298,urban mortgage lendi,FINANCE,7
6299,uruguay round dev co,ECONOMICS,7
6300,us cens bur,DEMOGRAPHY,7
6301,us dep comm,STATISTICAL DATA,7
6302,veroffentlichungen f,DK,7
6303,villanova law rev,LAW,7
6304,wage dispersion why,ECONOMICS,7
6305,wage formation macro,ECONOMICS,7
6306,wages natl regional,ECONOMICS,7
6307,water res,NATURAL SCIENCES,7
6308,water resource inves,NATURAL SCIENCES,7
6309,water supply ec tech,NATURAL SCIENCES,7
6310,waterfowl wetlands b,NATURAL SCIENCES,7
6311,wealth races present,ECONOMICS,7
6312,welfare consequences,ECONOMICS,7
6313,welfare work,ECONOMICS,7
6314,wholesale commodity,FINANCE,7
6315,win m ec soc,DK,7
6316,women work wages equ,ECONOMICS,7
6317,work disappears worl,SOCIOLOGY,7
6318,workers compensation,ECONOMICS,7
6319,world bank policy re,ECONOMICS,7
6320,world c econometric,ECONOMICS,7
6321,world comp rep,ECONOMICS,7
6322,world ec surv,ECONOMICS,7
6323,world petroleum mark,FINANCE,7
6324,world population pro,DEMOGRAPHY,7
6325,writings t jefferson,DK,7
6326,years foreign tra,ECONOMICS,7
6327,years high theory,ECONOMICS,7
6328,your money your life,BUSINESS,7
6329,193,DK,6
6330,1945,DK,6
6331,3,DK,6
6332,a webers theory loca,URBAN STUDIES,6
6333,acad sc mor pol,POLSCIENCE,6
6334,acquiring skills,ECONOMICS,6
6335,acta genet med gemel,HEALTH,6
6336,acta math acad sci h,MATHEMATICS,6
6337,adm sci q,POLSCIENCE,6
6338,administration,PUBLIC POL,6
6339,adv data vital hlth,HEALTH,6
6340,adv econometrics mod,STATISTICS,6
6341,aea readings economi,ECONOMICS,6
6342,agr econ,ECONOMICS,6
6343,agr macroECONOMICSe,ECONOMICS,6
6344,agr prices,AGRICULTURE,6
6345,agr unstable ec,ECONOMICS,6
6346,agricultural household models. extensions,ECONOMICS,6
6347,air line pilot,MEDIA,6
6348,aircraft financing,BUSINESS,6
6349,almanac am politics,POLSCIENCE,6
6350,alternative serfdom,ECONOMICS,6
6351,am capacity produce,ECONOMICS,6
6352,am city,URBAN STUDIES,6
6353,am domestic prioriti,ECONOMICS,6
6354,am ec ass publicatio,ECONOMICS,6
6355,am ec rev 1,ECONOMICS,6
6356,am investment brit m,BUSINESS,6
6357,am j comp law,LAW,6
6358,am j resp crit care,HEALTH,6
6359,am mercury,MEDIA,6
6360,am monetary policy,ECONOMICS,6
6361,am real estate urban,URBAN STUDIES,6
6362,am sociological,SOCIOLOGY,6
6363,am state papers fina,FINANCE,6
6364,am u coll,DK,6
6365,anal complex survey,STATISTICS,6
6366,anal issues debt,ECONOMICS,6
6367,analytical record yi,FINANCE,6
6368,anatomy consequences,FINANCE,6
6369,ann conv sav ban,FINANCE,6
6370,ann ec soc measure,DK,6
6371,ann ec statistiques,ECONOMICS,6
6372,ann eugenic,HEALTH,6
6373,ann m am pol sci ass,POLSCIENCE,6
6374,ann math study,MATHEMATICS,6
6375,ann rep dir,DK,6
6376,ann rep fed trad com,ECONOMICS,6
6377,ann rep shar,DK,6
6378,ann stat b,DK,6
6379,ann thorac surg,HEALTH,6
6380,ann u lyon,DK,6
6381,antioch rev,DK,6
6382,antitrust economics,ECONOMICS,6
6383,antitrust policy ec,ECONOMICS,6
6384,antitrust revolution,ECONOMICS,6
6385,appl game theory,ECONOMICS,6
6386,application linear p,MATHEMATICS,6
6387,approaches greater f,FINANCE,6
6388,arbeit,ECONOMICS,6
6389,arrow ascent ec theo,ECONOMICS,6
6390,arrow f theory ec po,ECONOMICS,6
6391,asian dev rev,ECONOMICS,6
6392,asset pricing hetero,FINANCE,6
6393,asset pricing idiosy,FINANCE,6
6394,atlantic monthly jul,MEDIA,6
6395,austr nat u ctr,DK,6
6396,av old ag cris,ECONOMICS,6
6397,aviation,GENERAL SCIENTIFIC,6
6398,b bur lab,STATISTICAL DATA,6
6399,b dep lab,STATISTICAL DATA,6
6400,b indones econ stud,ECONOMICS,6
6401,b int stat i,STATISTICS,6
6402,b oxford i statistic,STATISTICS,6
6403,b oxford u i economi,ECONOMICS,6
6404,b so,DK,6
6405,bal paym,STATISTICAL DATA,6
6406,bank can staff res,ECONOMICS,6
6407,bank england,ECONOMICS,6
6408,bank england q b feb,STATISTICAL DATA,6
6409,bank finl,STATISTICAL DATA,6
6410,bank israel ec rev,ECONOMICS,6
6411,bank it,STATISTICAL DATA,6
6412,bank management port,FINANCE,6
6413,bank us,FINANCE,6
6414,bankers magazine aug,FINANCE,6
6415,banking law j,LAW,6
6416,banks politics am re,HISTORY,6
6417,barriers european gr,ECONOMICS,6
6418,behav money,DK,6
6419,behavioural theory f,FINANCE,6
6420,benefits costs finan,FINANCE,6
6421,benefits env improve,NATURAL SCIENCES,6
6422,biol standard living,HEALTH,6
6423,biometrica,STATISTICS,6
6424,bls b,STATISTICAL DATA,6
6425,bmd biomedical compu,HEALTH,6
6426,board gov fed r,STATISTICAL DATA,6
6427,book stat,STATISTICS,6
6428,bost coll dep ec,ECONOMICS,6
6429,boston u law rev,LAW,6
6430,brain res rev,HEALTH,6
6431,breaking vicious cir,LAW,6
6432,brit ec growth 1688,STATISTICAL DATA,6
6433,brit j soc psychol,PSYCHOLOGY,6
6434,brit monetary policy,ECONOMICS,6
6435,brit workplace ind r,ECONOMICS,6
6436,brookings discussion,DK,6
6437,brookings papers ed,EDUCATION,6
6438,broth railw carm p,BUSINESS,6
6439,bubbles fun,DK,6
6440,bul,DK,6
6441,bus horizons,BUSINESS,6
6442,bus rev,BUSINESS,6
6443,business cycle post,ECONOMICS,6
6444,business cycles thei,ECONOMICS,6
6445,business cycles uk 1,ECONOMICS,6
6446,business cycles unem,ECONOMICS,6
6447,business fluctuation,BUSINESS,6
6448,business forecasting,BUSINESS,6
6449,c effects exchange r,ECONOMICS,6
6450,c int ctr national r,ECONOMICS,6
6451,c keystone washingto,DK,6
6452,cah sem ec,ECONOMICS,6
6453,cahiers econometrie,ECONOMICS,6
6454,california managemen,PUBLIC POL,6
6455,call conversion conv,FINANCE,6
6456,cambr u dep appl,ECONOMICS,6
6457,cambr u dep appl e,ECONOMICS,6
6458,cambridge j ec,ECONOMICS,6
6459,can individual inves,FINANCE,6
6460,canadian j econo may,ECONOMICS,6
6461,canadian j econo nov,ECONOMICS,6
6462,canadian quandary,ECONOMICS,6
6463,canadian tax j,ECONOMICS,6
6464,capital am ec,ECONOMICS,6
6465,capital development,ECONOMICS,6
6466,capital needs 70s,ECONOMICS,6
6467,capitalist system,ECONOMICS,6
6468,carn mell u,DK,6
6469,carn mell u g,DK,6
6470,cartels competition,BUSINESS,6
6471,central banking bage,ECONOMICS,6
6472,central planning pol,POLSCIENCE,6
6473,ces,DK,6
6474,changing roles debt,ECONOMICS,6
6475,channels monetary ef,ECONOMICS,6
6476,chem eng,GENERAL SCIENTIFIC,6
6477,chinas rural ind str,URBAN STUDIES,6
6478,churchwardens accoun,HISTORY,6
6479,cirano,DK,6
6480,classification regre,DK,6
6481,cleveland trust,BUSINESS,6
6482,climate change 2007,NATURAL SCIENCES,6
6483,climate change ipcc,NATURAL SCIENCES,6
6484,cmd6527,DK,6
6485,cms ems nw u,ECONOMICS,6
6486,col u int ec res,ECONOMICS,6
6487,collected ec papers,ECONOMICS,6
6488,collected papers f m,DK,6
6489,collective action,SOCIOLOGY,6
6490,comercio exterio nov,ECONOMICS,6
6491,comm stock ind,FINANCE,6
6492,commun math phys,GENERAL SCIENTIFIC,6
6493,commun stat-theor m,STATISTICS,6
6494,compendium tax,ECONOMICS,6
6495,competing technologi,ECONOMICS,6
6496,competitive challeng,BUSINESS,6
6497,competitive wage det,ECONOMICS,6
6498,comptroller currency,ECONOMICS,6
6499,computer j,COMPUTER,6
6500,concentration merger,BUSINESS,6
6501,confidence reg unpub,STATISTICS,6
6502,conflicts interest c,LAW,6
6503,cons exp us,ECONOMICS,6
6504,constant flux study,SOCIOLOGY,6
6505,constitution finance,FINANCE,6
6506,constructive income,ECONOMICS,6
6507,cont policy issues,PUBLIC POL,6
6508,contributions operat,DK,6
6509,control trusts,LAW,6
6510,controlled markov pr,STATISTICS,6
6511,controlling corrupti,LAW,6
6512,corporate ec,BUSINESS,6
6513,corruption reform le,LAW,6
6514,cost choice,ECONOMICS,6
6515,cost revenue profit,BUSINESS,6
6516,costly short selling,FINANCE,6
6517,counc corp for bo,FINANCE,6
6518,course,DK,6
6519,cowl comm disc,ECONOMICS,6
6520,cr acad sci a math,MATHEMATICS,6
6521,credit reporting sys,FINANCE,6
6522,credit u nott,ECONOMICS,6
6523,crime human nature,SOCIOLOGY,6
6524,crises periodiques s,ECONOMICS,6
6525,criticism growth kno,ECONOMICS,6
6526,cross section expect,STATISTICS,6
6527,csef,DK,6
6528,ctr ec stud,ECONOMICS,6
6529,ctr lab ec,ECONOMICS,6
6530,ctr micr meth p,DK,6
6531,currency convertibil,FINANCE,6
6532,current inflation,ECONOMICS,6
6533,datamation,COMPUTER,6
6534,death dollars role g,ECONOMICS,6
6535,decision making theo,PSYCHOLOGY,6
6536,decision organizatio,BUSINESS,6
6537,decision sciences,PSYCHOLOGY,6
6538,decisions values gro,SOCIOLOGY,6
6539,declining significan,SOCIOLOGY,6
6540,default risk interes,FINANCE,6
6541,defence peace econ,ECONOMICS,6
6542,defining moment grea,ECONOMICS,6
6543,demand money,ECONOMICS,6
6544,democracy deficit,POLSCIENCE,6
6545,democracy progr,POLSCIENCE,6
6546,depreciation capital,ECONOMICS,6
6547,determinants fertili,DEMOGRAPHY,6
6548,differential mortali,DEMOGRAPHY,6
6549,diffusion new ind pr,BUSINESS,6
6550,disability labor mar,ECONOMICS,6
6551,disc pa,DK,6
6552,discourse common wea,DK,6
6553,discourses trade,ECONOMICS,6
6554,distribution nationa,DK,6
6555,dollar shortage,FINANCE,6
6556,dynamic consumption,ECONOMICS,6
6557,dynamic duopoly pric,ECONOMICS,6
6558,dynamic mech d unpub,ECONOMICS,6
6559,dynamical systems,DK,6
6560,dynamics ind democra,POLSCIENCE,6
6561,early admissions gam,EDUCATION,6
6562,ec,ECONOMICS,6
6563,ec agglomeration cit,URBAN STUDIES,6
6564,ec anal unions new a,ECONOMICS,6
6565,ec climate change ad,NATURAL SCIENCES,6
6566,ec common currencies,ECONOMICS,6
6567,ec dev cultural ch 2,OTHER,6
6568,ec dev special refer,ECONOMICS,6
6569,ec disturbance,ECONOMICS,6
6570,ec effects advertisi,ECONOMICS,6
6571,ec essays honour gus,ECONOMICS,6
6572,ec firm size market,ECONOMICS,6
6573,ec francais,ECONOMICS,6
6574,ec global warming,ECONOMICS,6
6575,ec higher ed,EDUCATION,6
6576,ec informational dec,ECONOMICS,6
6577,ec instalment sellin,ECONOMICS,6
6578,ec labor market,ECONOMICS,6
6579,ec man,ECONOMICS,6
6580,ec microfinance,ECONOMICS,6
6581,ec money banking,FINANCE,6
6582,ec peace,ECONOMICS,6
6583,ec publique,ECONOMICS,6
6584,ec rationelle,ECONOMICS,6
6585,ec rationnelle,ECONOMICS,6
6586,ec recovery germany,ECONOMICS,6
6587,ec rev           spr,ECONOMICS,6
6588,ec role state,ECONOMICS,6
6589,ec sanctions reconsi,ECONOMICS,6
6590,ec soc res i,DK,6
6591,ec socialism,ECONOMICS,6
6592,ec soviet planning,ECONOMICS,6
6593,ec surv eur war,ECONOMICS,6
6594,ec theory int trade,ECONOMICS,6
6595,ec theory operations,ECONOMICS,6
6596,ec theory policy,ECONOMICS,6
6597,ec unemployment,ECONOMICS,6
6598,ec work pay,ECONOMICS,6
6599,econ dev q,ECONOMICS,6
6600,econometric implicat,ECONOMICS,6
6601,econometrics investm,ECONOMICS,6
6602,economic activity an,ECONOMICS,6
6603,economic concentrati,ECONOMICS,6
6604,economic growth us 1,ECONOMICS,6
6605,economic integration,ECONOMICS,6
6606,economic philosophy,ECONOMICS,6
6607,economic theory fisc,ECONOMICS,6
6608,economic theory pric,ECONOMICS,6
6609,economic theory retr,ECONOMICS,6
6610,economic weekly,MEDIA,6
6611,ECONOMICSeducation,EDUCATION,6
6612,ECONOMICSenvironmen,ECONOMICS,6
6613,ECONOMICShealth med,HEALTH,6
6614,ECONOMICStechnologi,ECONOMICS,6
6615,economie appliquee,ECONOMICS,6
6616,ed glanc,EDUCATION,6
6617,ed income human beha,SOCIOLOGY,6
6618,ed occupation earnin,EDUCATION,6
6619,edelmetall produktio,BUSINESS,6
6620,educ leadership,EDUCATION,6
6621,education jobs great,EDUCATION,6
6622,education training u,EDUCATION,6
6623,educational res,EDUCATION,6
6624,effect pension plans,PUBLIC POL,6
6625,effective regulation,ECONOMICS,6
6626,effects r d producti,BUSINESS,6
6627,effects us trade pro,ECONOMICS,6
6628,efficient dyna unpub,ECONOMICS,6
6629,egypte cont,DK,6
6630,ekonomika sovetskoi,ECONOMICS,6
6631,ekonomska revija,ECONOMICS,6
6632,elements ec,ECONOMICS,6
6633,empirical f arbitrag,FINANCE,6
6634,empirical studies he,DK,6
6635,ency law ec,OTHER,6
6636,ency sci math,MATHEMATICS,6
6637,ency stat sci,STATISTICS,6
6638,eng mining j,GENERAL SCIENTIFIC,6
6639,english population h,DEMOGRAPHY,6
6640,ephemerides citoyen,DK,6
6641,equal employment opp,ECONOMICS,6
6642,equilibrium competit,ECONOMICS,6
6643,equilibrium price di,ECONOMICS,6
6644,esaim p,STATISTICS,6
6645,ess u disc pap,DK,6
6646,essay economic growt,ECONOMICS,6
6647,essays cont fields e,DK,6
6648,essays economic anal,ECONOMICS,6
6649,essays index number,ECONOMICS,6
6650,essays mature ec bri,ECONOMICS,6
6651,essays monetary ec,ECONOMICS,6
6652,essays urban land ec,URBAN STUDIES,6
6653,estimating discount,ECONOMICS,6
6654,estimating labor sup,ECONOMICS,6
6655,estimation regressio,STATISTICS,6
6656,eur rev econ hist,ECONOMICS,6
6657,eur sociol rev,SOCIOLOGY,6
6658,eur union polit,POLSCIENCE,6
6659,european monetary in,ECONOMICS,6
6660,european nobility 18,DEMOGRAPHY,6
6661,evaluating policy re,PUBLIC POL,6
6662,exchange rates corpo,ECONOMICS,6
6663,executive salaries b,BUSINESS,6
6664,exhaustible resource,NATURAL SCIENCES,6
6665,existence optimality,DK,6
6666,explorations economi,ECONOMICS,6
6667,expt designs,DK,6
6668,extrapolation interp,DK,6
6669,f financial ec,ECONOMICS,6
6670,f social theory,SOCIOLOGY,6
6671,f utility risk theor,ECONOMICS,6
6672,fac tax probl,ECONOMICS,6
6673,far e ec rev,ECONOMICS,6
6674,fdn positiv in press,DK,6
6675,feasible implementat,DK,6
6676,fed hom loan bank,ECONOMICS,6
6677,fed res bank c,STATISTICAL DATA,6
6678,fed res bank ric,STATISTICAL DATA,6
6679,fed res bank sa,STATISTICAL DATA,6
6680,fed res bank st loui,STATISTICAL DATA,6
6681,federal estate gift,ECONOMICS,6
6682,federal home loan ba,ECONOMICS,6
6683,federal reserve  sum,ECONOMICS,6
6684,film criticism,DK,6
6685,finance int ec,FINANCE,6
6686,financial analys jul,FINANCE,6
6687,financial analys may,FINANCE,6
6688,financial analys sep,FINANCE,6
6689,financial analysts journal,FINANCE,6
6690,financial contractin,FINANCE,6
6691,financial market rat,FINANCE,6
6692,financial markets ec,ECONOMICS,6
6693,financial markets in,FINANCE,6
6694,financial performanc,FINANCE,6
6695,financial practice e,FINANCE,6
6696,financial services r,FINANCE,6
6697,financing catastroph,FINANCE,6
6698,financing higher edu,EDUCATION,6
6699,firm nexus treaties,BUSINESS,6
6700,fiscal policy lesson,ECONOMICS,6
6701,fiscal policy stable,ECONOMICS,6
6702,fixed point theorems,MATHEMATICS,6
6703,food res i commodity,AGRICULTURE,6
6704,forecasting nonstati,STATISTICS,6
6705,foreign investment d,FINANCE,6
6706,foreign law current,LAW,6
6707,foreign ownership ca,BUSINESS,6
6708,forrester report,DK,6
6709,forum hlth ec policy,HEALTH,6
6710,forward prices agr,FINANCE,6
6711,foundry,BUSINESS,6
6712,free trade protectio,ECONOMICS,6
6713,freight transport re,BUSINESS,6
6714,french debt problem,ECONOMICS,6
6715,frontiers macroecono,ECONOMICS,6
6716,frontiers theoretica,DK,6
6717,funding pensions iss,PUBLIC POL,6
6718,game theoretic appro,ECONOMICS,6
6719,gams users guide,MATHEMATICS,6
6720,gao,PUBLIC POL,6
6721,gen social surveys 1,SOCIOLOGY,6
6722,gender differe unpub,SOCIOLOGY,6
6723,general theory price,ECONOMICS,6
6724,generational account,SOCIOLOGY,6
6725,genetic studies geni,HEALTH,6
6726,genetical theory nat,HEALTH,6
6727,getting hooked ratio,PSYCHOLOGY,6
6728,getting job,DK,6
6729,giant jigsaw puzzle,DK,6
6730,gift forms functions,HISTORY,6
6731,gift relationship hu,PUBLIC POL,6
6732,globe,DK,6
6733,good bad trade,ECONOMICS,6
6734,gov ec serv work,ECONOMICS,6
6735,governance matters,POLSCIENCE,6
6736,govt technical progr,POLSCIENCE,6
6737,great expectations t,DK,6
6738,growth income distri,ECONOMICS,6
6739,growth productivity,ECONOMICS,6
6740,growth public expend,PUBLIC POL,6
6741,growth theory,ECONOMICS,6
6742,halting degradation,NATURAL SCIENCES,6
6743,hansard,PUBLIC POL,6
6744,happiness lessons ne,PSYCHOLOGY,6
6745,harv bus sch w,BUSINESS,6
6746,harvard business sch,BUSINESS,6
6747,hdb ec giving recipr,ECONOMICS,6
6748,hdb equity risk prem,FINANCE,6
6749,hdb int macroeconomi,ECONOMICS,6
6750,hdb labor statistics,ECONOMICS,6
6751,hdb mathematical fun,MATHEMATICS,6
6752,hdb natural resource,NATURAL SCIENCES,6
6753,hdb social ec,ECONOMICS,6
6754,health policy plann,HEALTH,6
6755,hebr u jer ctr,DK,6
6756,heterogeneous inform,ECONOMICS,6
6757,high level consumpti,ECONOMICS,6
6758,high public debt ita,ECONOMICS,6
6759,higher ed,EDUCATION,6
6760,highway benefits ana,URBAN STUDIES,6
6761,hist bimetallism us,HISTORY,6
6762,hist ec,ECONOMICS,6
6763,hist human gamble,HISTORY,6
6764,hist labor us,ECONOMICS,6
6765,hist stat,STATISTICS,6
6766,hist stat us col t 1,STATISTICAL DATA,6
6767,history agriculture,AGRICULTURE,6
6768,history ec anal,ECONOMICS,6
6769,hom off,DK,6
6770,household capital fo,ECONOMICS,6
6771,human action,SOCIOLOGY,6
6772,human growth compreh,SOCIOLOGY,6
6773,hume studies,PHILOSOPHY,6
6774,hunts merchants,BUSINESS,6
6775,i inv stud rep,FINANCE,6
6776,i math stud soc s,MATHEMATICS,6
6777,i res pov disc,SOCIOLOGY,6
6778,i social norms ec de,SOCIOLOGY,6
6779,idei,ECONOMICS,6
6780,iea conf vol,ECONOMICS,6
6781,illusion wage price,ECONOMICS,6
6782,impact supported wor,DK,6
6783,ims lect notes monog,MATHEMATICS,6
6784,in press adv ec theo,ECONOMICS,6
6785,in press does atlas,ECONOMICS,6
6786,in press ec policy,ECONOMICS,6
6787,in press european j,DK,6
6788,in press expt ec,ECONOMICS,6
6789,in press hdb ec grow,ECONOMICS,6
6790,in press hdb ind org,ECONOMICS,6
6791,in press hdb monetar,ECONOMICS,6
6792,in press j applied e,ECONOMICS,6
6793,in press j ec growth,ECONOMICS,6
6794,in press labour ec,ECONOMICS,6
6795,in press math financ,FINANCE,6
6796,in press rev int ec,ECONOMICS,6
6797,income stabilization,ECONOMICS,6
6798,income tax,ECONOMICS,6
6799,income wealth us tre,ECONOMICS,6
6800,incomplete contracts,LAW,6
6801,increasing returns i,ECONOMICS,6
6802,ind growth world tra,ECONOMICS,6
6803,ind labor,ECONOMICS,6
6804,ind mobility labor p,ECONOMICS,6
6805,ind prod,ECONOMICS,6
6806,ind relations j,BUSINESS,6
6807,ind relations res as,BUSINESS,6
6808,ind revolution 1760,ECONOMICS,6
6809,ind stat dat,BUSINESS,6
6810,ind technical progr,ECONOMICS,6
6811,indeterminacy equili,ECONOMICS,6
6812,indexing inflation e,ECONOMICS,6
6813,industrial labor rel,BUSINESS,6
6814,industrial prices and their relative inflexibility,ECONOMICS,6
6815,industrial relations,BUSINESS,6
6816,industrialization ec,ECONOMICS,6
6817,inequality poverty m,SOCIOLOGY,6
6818,infinite sequences s,MATHEMATICS,6
6819,infl rep,ECONOMICS,6
6820,inflation process us,ECONOMICS,6
6821,inflation targets,ECONOMICS,6
6822,inflation theory ant,ECONOMICS,6
6823,inflation theory mon,ECONOMICS,6
6824,inflation world econ,ECONOMICS,6
6825,influence sci practi,PSYCHOLOGY,6
6826,information acquisit,ECONOMICS,6
6827,information and learning in markets: the impact of market microstructure,FINANCE,6
6828,information capital,ECONOMICS,6
6829,input output anal ap,BUSINESS,6
6830,int bank rec d,FINANCE,6
6831,int competitiveness,ECONOMICS,6
6832,int diversification,ECONOMICS,6
6833,int financial contag,FINANCE,6
6834,int interact,ECONOMICS,6
6835,int j,DK,6
6836,int j addict,HEALTH,6
6837,int j behav dev,PSYCHOLOGY,6
6838,int j ec business,ECONOMICS,6
6839,int monetary arrange,ECONOMICS,6
6840,int polit sci rev,POLSCIENCE,6
6841,int standard monetar,ECONOMICS,6
6842,int transmission ec,ECONOMICS,6
6843,int transmission inf,FINANCE,6
6844,interdependence reso,DK,6
6845,internal capital mar,ECONOMICS,6
6846,internal labour mark,ECONOMICS,6
6847,intertemporal asset,ECONOMICS,6
6848,intro automata theor,GENERAL SCIENTIFIC,6
6849,intro bilinear time,STATISTICS,6
6850,intro ec growth,ECONOMICS,6
6851,intro multivariate a,STATISTICS,6
6852,intro stat time seri,STATISTICS,6
6853,intro theory station,MATHEMATICS,6
6854,introduction theory,DK,6
6855,invention innovation,GENERAL SCIENTIFIC,6
6856,investment analysis,FINANCE,6
6857,investment companies,BUSINESS,6
6858,investment criteria,BUSINESS,6
6859,investment location,URBAN STUDIES,6
6860,investment performan,FINANCE,6
6861,irs,STATISTICAL DATA,6
6862,is money really smar,FINANCE,6
6863,isis,POLSCIENCE,6
6864,israeli ec maturing,ECONOMICS,6
6865,issues advertising e,COMMUNICATION,6
6866,issues urban ec,URBAN STUDIES,6
6867,j acad market sci,COMMUNICATION,6
6868,j aging health,HEALTH,6
6869,j agricultural econo,ECONOMICS,6
6870,j am coll cardiol,HEALTH,6
6871,j am plann assoc,URBAN STUDIES,6
6872,j am statistical sep,STATISTICS,6
6873,j am taxation ass,ECONOMICS,6
6874,j appl finance,FINANCE,6
6875,j bank res       win,FINANCE,6
6876,j banking res,FINANCE,6
6877,j business 2,BUSINESS,6
6878,j chem phys,GENERAL SCIENTIFIC,6
6879,j clin oncol,HEALTH,6
6880,j commercial bank le,FINANCE,6
6881,j crim just,SOCIOLOGY,6
6882,j democr,POLSCIENCE,6
6883,j differ equations,MATHEMATICS,6
6884,j ec dynamics contro,ECONOMICS,6
6885,j ec history,ECONOMICS,6
6886,j ed psychol,PSYCHOLOGY,6
6887,j empir legal stud,LAW,6
6888,j exp psychol-appl,PSYCHOLOGY,6
6889,j financ economet,FINANCE,6
6890,j franklin i,GENERAL SCIENTIFIC,6
6891,j gerontol b-psychol,PSYCHOLOGY,6
6892,j hered,HEALTH,6
6893,j hopk u,DK,6
6894,j hopk u work pa,DK,6
6895,j human resource sum,BUSINESS,6
6896,j i math appl,MATHEMATICS,6
6897,j int fin manag acc,FINANCE,6
